,Forks,Full_name,Language,Name,PRs_count,Project_ID,Stars,Watchers
0,49.0,apache/any23,HTML,any23,159.0,4544260.0,73.0,24.0
1,21526.0,apache/dubbo,Java,dubbo,2839.0,4710920.0,32981.0,3277.0
2,1149.0,apache/calcite,Java,calcite,2070.0,21193524.0,1934.0,163.0
3,2653.0,apache/cassandra,Java,cassandra,681.0,206424.0,6052.0,510.0
4,1169.0,apache/cxf,Java,cxf,677.0,16977479.0,656.0,91.0
5,1372.0,apache/flume,Java,flume,320.0,2198510.0,1973.0,221.0
6,1469.0,apache/groovy,Java,groovy,1316.0,34039690.0,3742.0,231.0
