,Forks,Full_name,Language,Name,PRs_count,Project_ID,Stars,Watchers
0,49.0,apache/any23,HTML,any23,159.0,4544260.0,72.0,24.0
1,21520.0,apache/dubbo,Java,dubbo,2830.0,4710920.0,32961.0,3277.0
2,1148.0,apache/calcite,Java,calcite,2067.0,21193524.0,1931.0,163.0
3,2654.0,apache/cassandra,Java,cassandra,677.0,206424.0,6048.0,511.0
4,1167.0,apache/cxf,Java,cxf,677.0,16977479.0,656.0,91.0
5,1373.0,apache/flume,Java,flume,320.0,2198510.0,1973.0,221.0
6,1470.0,apache/groovy,Java,groovy,1315.0,34039690.0,3740.0,231.0
